client_id,round_number,hierarchy,num_samples,set,accuracy,loss
Daria67,0,,28,test,0.6666666666666666,0.6929492354393005
DatGurlEbb,0,,15,test,0.0,0.6933249831199646
DaveLair,0,,20,test,0.5,0.6931419372558594
DaveTaylor,0,,14,test,0.5,0.693092942237854
Dawnie22,0,,16,test,0.5,0.6931570768356323
Deadria101,0,,11,test,0.5,0.6931653022766113
DebBee80,0,,10,test,1.0,0.6930303573608398
DebVaFOD,0,,14,test,0.5,0.6930452585220337
DeeAnA19,0,,12,test,1.0,0.6928657293319702
DeeYoung08,0,,26,test,0.6666666666666666,0.6930896639823914
Delolida,0,,17,test,0.5,0.6930646896362305
DeryaMetin,0,,15,test,1.0,0.6929460167884827
Devar,0,,14,test,1.0,0.6929636001586914
DevinChristine,0,,10,test,0.0,0.6931881308555603
Devkss,0,,10,test,0.0,0.6931801438331604
Dewy78,0,,11,test,0.5,0.6930676698684692
DiDi_Pop,0,,10,test,0.0,0.6933472156524658
DinaZg,0,,19,test,0.5,0.693078875541687
DinsterDobbins,0,,12,test,0.0,0.6934025287628174
DivaLinda,0,,11,test,0.0,0.6934969425201416
DivineChihuahua,0,,21,test,0.3333333333333333,0.6932033896446228
DominiqueWT,0,,12,test,0.0,0.6932922005653381
DonnaSpeaks,0,,18,test,1.0,0.6930450201034546
DougEWhite,0,,11,test,0.5,0.6931719779968262
Down_Fell_Jill,0,,12,test,0.0,0.6933548450469971
DrErnie,0,,10,test,0.0,0.6933339834213257
DreamNetJade,0,,21,test,0.6666666666666666,0.6930907368659973
DustinJMcClure,0,,13,test,0.5,0.6930378079414368
Dykey,0,,14,test,1.0,0.6928303241729736
ENYLYNMAY,0,,10,test,0.0,0.6932944059371948
ESwee,0,,11,test,0.5,0.6931381225585938
EXCLUSiVE_B,0,,15,test,0.0,0.6933798789978027
E_Nysce,0,,29,test,1.0,0.6930144429206848
Earthspacetime,0,,16,test,1.0,0.6928542852401733
Ebukalashnikov,0,,15,test,0.0,0.6932167410850525
EddieHdz,0,,11,test,0.0,0.6934163570404053
Edgar_Allen,0,,14,test,0.0,0.6933469772338867
EdithOwnsU,0,,21,test,1.0,0.692915678024292
Edy7,0,,14,test,1.0,0.6928877830505371
ElaineToni,0,,27,test,1.0,0.6929750442504883
ElementalBliss,0,,15,test,1.0,0.6929328441619873
ElementsOfJazz,0,,60,test,0.5,0.6931164860725403
ElenaBrowne,0,,13,test,0.0,0.6933061480522156
EliseOlavsen,0,,17,test,0.5,0.6931139230728149
ElizDeJesus,0,,10,test,1.0,0.6931070685386658
ElleCTF,0,,12,test,0.0,0.6933781504631042
Elodora,0,,11,test,0.0,0.6933119893074036
EmbryC,0,,11,test,1.0,0.6928621530532837
Eminax3,0,,14,test,1.0,0.6929590702056885
Emm_Jay,0,,23,test,1.0,0.6928831934928894
EmmyATL,0,,36,test,0.75,0.6931110620498657
Emoly_,0,,15,test,1.0,0.6928394436836243
EmzShezComics,0,,15,test,1.0,0.6928204298019409
Epicx,0,,10,test,1.0,0.6928703188896179
EricIsiah,0,,19,test,1.0,0.6929205060005188
EricRoxNow,0,,23,test,0.3333333333333333,0.693128764629364
Eric_John,0,,17,test,0.0,0.6933434009552002
ErictheAzn,0,,21,test,0.6666666666666666,0.6931352615356445
ErikaDisaster,0,,16,test,1.0,0.692925214767456
Erykah_,0,,26,test,0.3333333333333333,0.693185031414032
EverywhereTrip,0,,15,test,1.0,0.6929168105125427
EviLovesMcFly,0,,69,test,0.7142857142857143,0.692990779876709
Ewoodite,0,,13,test,0.0,0.6932730674743652
ExtremeAnnette,0,,13,test,0.5,0.6931805610656738
F1_lou,0,,15,test,0.0,0.6934409737586975
FARRAH1228,0,,14,test,0.5,0.6931951642036438
FEEliNHOllYWOOD,0,,11,test,0.5,0.6931794881820679
Fallen_Angel69,0,,10,test,1.0,0.6929455995559692
FashionGuru,0,,56,test,0.5,0.6930848956108093
FastKid414,0,,10,test,0.0,0.6933063268661499
Fatimaa14,0,,16,test,1.0,0.6928841471672058
Feelslikehome,0,,41,test,0.8,0.6930605173110962
Figmom,0,,15,test,1.0,0.69301837682724
FilmLadd,0,,13,test,1.0,0.6928750872612
Flasetta,0,,16,test,0.5,0.6931331157684326
Flipflop1,0,,10,test,0.0,0.6931843161582947
FlissTee,0,,96,test,0.9,0.6929051280021667
Florrciita,0,,13,test,0.5,0.6931657195091248
